Time,Production
1/1/1956,284
4/1/1956,213
7/1/1956,227
10/1/1956,308
1/1/1957,262
4/1/1957,228
7/1/1957,236
10/1/1957,320
1/1/1958,272
4/1/1958,233
7/1/1958,237
10/1/1958,313
1/1/1959,261
4/1/1959,227
7/1/1959,250
10/1/1959,314
1/1/1960,286
4/1/1960,227
7/1/1960,260
10/1/1960,311
1/1/1961,295
4/1/1961,233
7/1/1961,257
10/1/1961,339
1/1/1962,279
4/1/1962,250
7/1/1962,270
10/1/1962,346
1/1/1963,294
4/1/1963,255
7/1/1963,278
10/1/1963,363
1/1/1964,313
4/1/1964,273
7/1/1964,300
10/1/1964,370
1/1/1965,331
4/1/1965,288
7/1/1965,306
10/1/1965,386
1/1/1966,335
4/1/1966,288
7/1/1966,308
10/1/1966,402
1/1/1967,353
4/1/1967,316
7/1/1967,325
10/1/1967,405
1/1/1968,393
4/1/1968,319
7/1/1968,327
10/1/1968,442
1/1/1969,383
4/1/1969,332
7/1/1969,361
10/1/1969,446
1/1/1970,387
4/1/1970,357
7/1/1970,374
10/1/1970,466
1/1/1971,410
4/1/1971,370
7/1/1971,379
10/1/1971,487
1/1/1972,419
4/1/1972,378
7/1/1972,393
10/1/1972,506
1/1/1973,458
4/1/1973,387
7/1/1973,427
10/1/1973,565
1/1/1974,465
4/1/1974,445
7/1/1974,450
10/1/1974,556
1/1/1975,500
4/1/1975,452
7/1/1975,435
10/1/1975,554
1/1/1976,510
4/1/1976,433
7/1/1976,453
10/1/1976,548
1/1/1977,486
4/1/1977,453
7/1/1977,457
10/1/1977,566
1/1/1978,515
4/1/1978,464
7/1/1978,431
10/1/1978,588
1/1/1979,503
4/1/1979,443
7/1/1979,448
10/1/1979,555
1/1/1980,513
4/1/1980,427
7/1/1980,473
10/1/1980,526
1/1/1981,548
4/1/1981,440
7/1/1981,469
10/1/1981,575
1/1/1982,493
4/1/1982,433
7/1/1982,480
10/1/1982,576
1/1/1983,475
4/1/1983,405
7/1/1983,435
10/1/1983,535
1/1/1984,453
4/1/1984,430
7/1/1984,417
10/1/1984,552
1/1/1985,464
4/1/1985,417
7/1/1985,423
10/1/1985,554
1/1/1986,459
4/1/1986,428
7/1/1986,429
10/1/1986,534
1/1/1987,481
4/1/1987,416
7/1/1987,440
10/1/1987,538
1/1/1988,474
4/1/1988,440
7/1/1988,447
10/1/1988,598
1/1/1989,467
4/1/1989,439
7/1/1989,446
10/1/1989,567
1/1/1990,485
4/1/1990,441
7/1/1990,429
10/1/1990,599
1/1/1991,464
4/1/1991,424
7/1/1991,436
10/1/1991,574
1/1/1992,443
4/1/1992,410
7/1/1992,420
10/1/1992,532
1/1/1993,433
4/1/1993,421
7/1/1993,410
10/1/1993,512
1/1/1994,449
4/1/1994,381
7/1/1994,423
10/1/1994,531
1/1/1995,426
4/1/1995,408
7/1/1995,416
10/1/1995,520
1/1/1996,409
4/1/1996,398
7/1/1996,398
10/1/1996,507
1/1/1997,432
4/1/1997,398
7/1/1997,406
10/1/1997,526
1/1/1998,428
4/1/1998,397
7/1/1998,403
10/1/1998,517
1/1/1999,435
4/1/1999,383
7/1/1999,424
10/1/1999,521
1/1/2000,421
4/1/2000,402
7/1/2000,414
10/1/2000,500
1/1/2001,451
4/1/2001,380
7/1/2001,416
10/1/2001,492
1/1/2002,428
4/1/2002,408
7/1/2002,406
10/1/2002,506
1/1/2003,435
4/1/2003,380
7/1/2003,421
10/1/2003,490
1/1/2004,435
4/1/2004,390
7/1/2004,412
10/1/2004,454
1/1/2005,416
4/1/2005,403
7/1/2005,408
10/1/2005,482
1/1/2006,438
4/1/2006,386
7/1/2006,405
10/1/2006,491
1/1/2007,427
4/1/2007,383
7/1/2007,394
10/1/2007,473
1/1/2008,420
4/1/2008,390
7/1/2008,410
10/1/2008,488
1/1/2009,415
4/1/2009,398
7/1/2009,419
10/1/2009,488
1/1/2010,414
4/1/2010,374
